Element,Reaction,T_start,T_end,DeltaH (kJ/mol),DeltaS (kJ/mol·K)
Se,Se + O2 = SeO2,491.0,603.0,-229.78378571428598,-0.18678571428571472
Se,Se + O2 = SeO2,603.0,952.0,-124.38108882521497,-0.011988538681948503
Se,Se + O2 = SeO2,952.0,2250.0,-195.8197356178736,-0.08702913405238824
Si,Si + O2 = SiO2,1685.0,1696.0,-866.3922909091007,-0.15214545454546016
Si,Si + O2 = SiO2,1696.0,2500.0,-940.2093293532334,-0.19566965174129355
Sm,4/3Sm +O2 = 2/3Sm2O3,1345.0,2076.0,-1207.9208,-0.19162408921933038
Sm,4/3Sm +O2 = 2/3Sm2O3,2076.0,2608.0,-1207.9208000000096,-0.19162408921933474
Sn,Sn + O2 = SnO2,505.0,2140.0,-584.2373822629969,-0.21239877675840974
Sr,2Sr + O2 = 2SrO,1043.0,1640.0,-1179.5445896147398,-0.19623450586264632
Sr,2Sr + O2 = 2SrO,1640.0,2690.0,-1439.3358476190472,-0.3546438095238095
Ta,4/5Ta + O2 = 2/5Ta2O5,2150.0,3270.0,-756.7436428571427,-0.1456928571428571
Tb,1.04Tb +O2 =1.04TbO1.917,1638.0,3503.0,-1053.9495999999997,-0.1869772893772895
Tb,1.17Tb +O2 = 1.17TbO1.709,1638.0,3503.0,-1109.5968,-0.18748815628815615
Tb,4/3Tb +O2 = 2/3Tb2O3,1638.0,2680.0,-1236.7903999999992,-0.18263492063492032
Tb,4/3Tb +O2 = 2/3Tb2O3,2680.0,3503.0,-1236.7903999999987,-0.18263492063491993
Te,Te + O2 = TeO2,723.0,1006.0,-331.423067137809,-0.192197879858657
Te,Te + O2 = TeO2,1006.0,1267.0,-638.0038927203063,-0.49695019157088133
Te,Te + O2 = TeO2,1267.0,1700.0,-32.84133688683601,-0.01931597228637413
Th,Th + O2 = ThO2,1968.0,3493.0,-1220.6964039344264,-0.1865652459016394
Ti,2Ti + O2 = 2TiO,1940.0,2033.0,-848.182279569894,-0.08997849462365681
Ti,2Ti + O2 = 2TiO,2033.0,2500.0,-965.7917344753741,-0.14782869379014962
Ti,2Ti3O5 + O2 = 6TiO2,1940.0,2033.0,-976.7815936587334,-0.30939257405089343
Ti,2Ti3O5 + O2 = 6TiO2,2033.0,2128.0,-976.7815936587587,-0.30939257405090587
Ti,2Ti3O5 + O2 = 6TiO2,2128.0,2150.0,-570.4080809614259,-0.11842757748261029
Ti,2Ti3O5 + O2 = 6TiO2,2150.0,2450.0,-570.4080809614112,-0.11842757748260348
Ti,2Ti3O5 + O2 = 6TiO2,2450.0,2500.0,-892.0018064516253,-0.2496903225806502
Ti,4TiO + O2 = 2Ti2O3,1940.0,2033.0,-1040.569155145903,-0.2085572964669605
Ti,4TiO + O2 = 2Ti2O3,2033.0,2128.0,-805.3502453350126,-0.09285689813400869
Ti,4TiO + O2 = 2Ti2O3,2128.0,2150.0,-805.3502453347801,-0.09285689813389952
Ti,6Ti2O3 + O2 = 4Ti3O5,1940.0,2033.0,-1135.1063081232307,-0.3521826330532118
Ti,6Ti2O3 + O2 = 4Ti3O5,2033.0,2128.0,-1135.1063081232755,-0.3521826330532336
